simulate_rounds,scenario_type,endowment,num_recipients,work_contribution,project_context,team_relationship,prompt_template
5,MULTIPLE_OPTIONAL,720,4,less,data collection,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $720. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,330,1,more,system upgrade,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $330, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,530,3,less,PR campaign,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $530. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,730,4,equal,experimental design,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $730. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,340,1,equal,API integration,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $340, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,540,3,more,strategic planning,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $540. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,740,4,less,behavior analysis,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $740. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,350,1,more,UX redesign,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $350, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,550,3,less,product evaluation,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $550. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,750,4,equal,clinical trial,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $750. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,360,1,less,backend optimization,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $360, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,560,3,equal,marketing research,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $560. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,760,4,more,field study,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $760. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,370,1,equal,software patching,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $370, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,570,3,more,advertising research,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $570. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,770,4,less,social experiment,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $770. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,380,1,more,system audit,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $380, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,580,3,less,event planning,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $580. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,780,4,equal,data experiment,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $780. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,390,1,less,cloud deployment,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $390, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,590,3,equal,brand strategy,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $590. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,790,4,more,scientific experiment,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $790. You may choose to keep or donate freely. {scenario_instructions}"
5,SINGLE_RECIPIENT,400,1,equal,software release,colleagues,"You have just completed a {project_context} with {team_description} {relationship_context}. {work_context} The client paid $400, which you control. Decide how to allocate: {scenario_instructions}"
5,MULTIPLE_MUST_DONATE,600,3,more,campaign research,friends,"In this {project_context}, you worked with {team_description} {relationship_context}. {work_context} The client paid $600. You must donate at least some to your team. {scenario_instructions}"
5,MULTIPLE_OPTIONAL,800,4,less,field research,strangers,"During the {project_context}, you collaborated with {team_description} {relationship_context}. {work_context} You now control $800. You may choose to keep or donate freely. {scenario_instructions}"
